Destination,Destination IP,Hop,IP,ASN,City,Region,Country,Loc,Postal,Timezone,RTT1,RTT2,RTT3
googleapis.com,142.250.80.4,11,108.170.227.149,N/A,,,,,,,8.74,8.63,8.61
microsoft.com,13.107.253.40,10,*,,,,,,,,*,*,*
youtube.com,142.250.80.110,14,142.250.80.110,N/A,,,,,,,7.37,5.66,10.0
googleapis.com,142.250.80.4,12,192.178.106.157,N/A,,,,,,,5.9,8.06,7.4
worldbyte.net,46.243.3.93,12,185.15.209.29,N/A,,,,,,,91.99,86.25,86.35
googleapis.com,142.250.80.4,13,142.250.235.237,N/A,,,,,,,13.22,8.71,10.03
live.com,204.79.197.212,9,*,,,,,,,,*,*,*
googleapis.com,142.250.80.4,14,142.250.80.4,N/A,,,,,,,8.25,6.4,7.71
wikipedia.org,208.80.154.224,10,*,,,,,,,,*,*,*
fbcdn.net,57.144.180.1,11,*,,,,,,,,*,*,*
syracuse.com,99.83.138.34,7,*,,,,,,,,*,*,*
amazon.com,52.94.236.248,8,*,,,,,,,,*,*,*
egramswaraj.gov.in,164.100.128.240,9,*,,,,,,,,*,*,*
worldbyte.net,46.243.3.93,13,46.243.3.93,N/A,,,,,,,85.02,85.75,*
worldbyte.net,46.243.3.93,14,46.243.3.93,N/A,,,,,,,86.33,84.68,85.64
list.ly,99.83.220.108,8,*,,,,,,,,*,*,*
ungrounded.net,15.235.14.84,10,*,,,,,,,,*,*,*
skyeng.ru,178.248.234.206,9,*,,,,,,,,*,*,*
office.com,13.107.6.156,10,*,,,,,,,,*,*,*
mir-chitki.ru,195.161.62.201,12,*,,,,,,,,*,*,*
canalturf.com,185.103.143.176,12,*,,,,,,,,*,*,*
googletagmanager.com,142.251.40.232,10,*,,,,,,,,*,*,*
dzen.ru,5.61.23.39,11,*,,,,,,,,*,*,*
mail.ru,217.69.139.200,11,*,,,,,,,,*,*,*
azure.com,20.231.239.246,11,*,,,,,,,,*,*,*
krakow.pl,149.156.2.195,10,*,,,,,,,,*,*,*
facebook.com,31.13.71.36,12,*,,,,,,,,*,*,*
googletagmanager.com,142.251.40.232,11,209.85.255.37,N/A,,,,,,,10.3,7.32,7.21
v6velugu.com,51.158.30.124,10,*,,,,,,,,*,*,*
messefrankfurt.com,193.109.4.37,11,*,,,,,,,,*,*,*
mir-chitki.ru,195.161.62.201,13,89.191.239.165,N/A,,,,,,,143.6,117.94,116.27
azure.com,20.231.239.246,12,51.10.4.50,N/A,,,,,,,29.6,56.44,59.21
nationaltrust.org.uk,52.210.108.135,9,*,,,,,,,,*,*,*
instagram.com,157.240.241.174,12,*,,,,,,,,*,*,*
googletagmanager.com,142.251.40.232,12,192.178.106.21,N/A,,,,,,,7.73,7.8,6.13
linkedin.com,150.171.22.12,9,*,,,,,,,,*,*,*
v6velugu.com,51.158.30.124,11,213.248.90.71,N/A,,,,,,,85.09,85.44,84.99
amazonaws.com,72.21.206.80,9,*,,,,,,,,*,*,*
microsoft.com,13.107.253.40,11,*,,,,,,,,*,*,*
mir-chitki.ru,195.161.62.201,14,217.106.6.166,N/A,,,,,,,117.43,115.74,115.12
azure.com,20.231.239.246,13,51.10.22.138,N/A,,,,,,,36.8,58.7,31.18
